date,close,sma20,sma50,signal,position,market_return,strategy_return,trade,equity_curve
2022-09-15,149.5789794921875,158.06072387695312,156.3806414794922,1,1.0,-0.018929830941975867,-0.018929830941975867,0.0,1.65095681739174
2022-09-16,147.93954467773438,156.90970001220703,156.4700326538086,1,1.0,-0.010960328917999806,-0.010960328917999806,0.0,1.6328617876437124
2022-09-19,151.65032958984375,156.07330627441405,156.6201123046875,0,1.0,0.02508311702724786,0.02508311702724786,0.0,1.6738190509525008
2022-09-20,154.0259552001953,155.5495735168457,156.8602490234375,0,0.0,0.015665152965883555,-0.0005,1.0,1.6729821414270247
2022-09-21,150.90426635742188,154.88644714355468,157.0185418701172,0,0.0,-0.020267290916755054,-0.0,0.0,1.6729821414270247
2022-09-22,149.9422149658203,154.16049499511718,157.16484832763672,0,0.0,-0.006375243157956234,-0.0,0.0,1.6729821414270247
2022-09-23,147.6744842529297,153.1984436035156,157.20737396240236,0,0.0,-0.015124031036940155,-0.0,0.0,1.6729821414270247
2022-09-26,148.00830078125,152.5677131652832,157.22324432373046,0,0.0,0.0022604888719202076,0.0,0.0,1.6729821414270247
2022-09-27,148.98016357421875,152.09552307128905,157.31933166503907,0,0.0,0.006566272214726165,0.0,0.0,1.6729821414270247
2022-09-28,147.09530639648438,151.65032958984375,157.3006686401367,0,0.0,-0.012651732502598434,-0.0,0.0,1.6729821414270247
2022-09-29,139.8701629638672,150.9268310546875,157.09750610351563,0,0.0,-0.049118789780704164,-0.0,0.0,1.6729821414270247
2022-09-30,135.66854858398438,149.9569290161133,156.76502014160155,0,0.0,-0.030039390037517988,-0.0,0.0,1.6729821414270247
2022-10-03,139.84066772460938,149.30116424560546,156.54068084716798,0,0.0,0.0307522943539289,0.0,0.0,1.6729821414270247
2022-10-04,143.42384338378906,148.88738479614258,156.41035583496094,0,0.0,0.025623273383077017,0.0,0.0,1.6729821414270247
2022-10-05,143.71836853027344,148.41814117431642,156.31239044189454,0,0.0,0.002053529870178261,0.0,0.0,1.6729821414270247
2022-10-06,142.76608276367188,147.97490997314452,156.09362182617187,0,0.0,-0.0066260546674725695,-0.0,0.0,1.6729821414270247
2022-10-07,137.5238800048828,147.1267333984375,155.75902954101562,0,0.0,-0.03671882464875609,-0.0,0.0,1.6729821414270247
2022-10-10,137.84788513183594,145.99730758666993,155.32974822998048,0,0.0,0.0023559917516988715,0.0,0.0,1.6729821414270247
2022-10-11,136.43423461914062,145.26791687011718,154.8918002319336,0,0.0,-0.010255148356779764,-0.0,0.0,1.6729821414270247
2022-10-12,135.80596923828125,144.4349594116211,154.47069641113282,0,0.0,-0.004604895410695087,-0.0,0.0,1.6729821414270247
2022-10-13,140.37083435058594,143.97455215454102,154.02089874267577,0,0.0,0.033613140408396136,0.0,0.0,1.6729821414270247
2022-10-14,135.84523010253906,143.36983642578124,153.4868634033203,0,0.0,-0.032240345859481434,-0.0,0.0,1.6729821414270247
2022-10-17,139.80142211914062,142.7773910522461,153.0364666748047,0,0.0,0.029122789321460507,0.0,0.0,1.6729821414270247
2022-10-18,141.11685180664062,142.13193588256837,152.62180389404296,0,0.0,0.009409272577921124,0.0,0.0,1.6729821414270247
2022-10-19,141.22486877441406,141.64796600341796,152.20831939697266,0,0.0,0.0007654434349304573,0.0,0.0,1.6729821414270247
2022-10-20,140.76348876953125,141.18902969360352,151.7007897949219,0,0.0,-0.003266988377378488,-0.0,0.0,1.6729821414270247
2022-10-21,144.5723876953125,141.03392486572267,151.2841638183594,0,0.0,0.027058855666880044,0.0,0.0,1.6729821414270247
2022-10-24,146.71243286132812,140.96913146972656,150.83946075439454,0,0.0,0.014802585750508523,0.0,0.0,1.6729821414270247
